address,decimals,symbol
0x0C659734f1eEF9C63B7Ebdf78a164CDd745586Db,18,USDC-USDBC-AXLUSDC
0xf395680803b269b62702554723E05b373171b07b,18,BRATT
0x4ed4E862860beD51a9570b96d89aF5E1B0Efefed,18,DEGEN
0xC2fE011C3885277c7F0e7ffd45Ff90cADc8ECD12,18,PONCHO
0x0D30be9D9c2cf90AEff4fEf5B2E8C3D0B02596A0,18,BLARB
0x8a24D7260cD02d3DFD8EEfb66bC17ad4B17D494c,18,BSB
0x8ca99727813aF2a45Df365E920F59692DF436EE0,18,SHDW
0x2F3b1A07E3eFb1fCc64BD09b86bD0Fa885D93552,18,MST
0x2aF864fb54b55900Cd58d19c7102d9e4FA8D84a3,18,GB
0x8e16D46Cb2dA01cdD49601ec73d7B0344969Ae33,18,COIN
0x7d1b04f97dda1FDDF0AD9ef5A606E4a956261AC8,18,BASED
0x23E1A3BcDcEE4C59209d8871140eB7DD2bD9d1cE,18,BASO
0x3421cc14F0e3822Cf3B73C3a4BEC2A1023b8d9Cf,9,REBASE
0xB661933D9f24EC34Dc0Fd6862f086079F864b26f,18,STREET
0x85E90a5430AF45776548ADB82eE4cD9E33B08077,18,DINO
0x15aC90165f8B45A80534228BdCB124A011F62Fee,18,MOEW
0x18A8BD1fe17A1BB9FFB39eCD83E9489cfD17a022,18,ANDY
0x347F500323D51E9350285Daf299ddB529009e6AE,18,BLERF
0x58Dd173F30EcfFdfEbCd242C71241fB2f179e9B9,18,WIG
0xbeF5D404548Fab05820e64F92Cf043b6a06F9c72,18,POD
0x0FA70E156Cd3B03aC4080bfe55BD8AB50f5Bcb98,18,YOU
0x9D6b8B6FB293c757E05073b84a583ECFAeF8D8A7,18,FLIES
0x9252384e10Ba6beae1A52DBb2a3BEca2592268D9,18,TORCH
0x4dFbd8A695BAf78EBF8f905A4527020E844B278d,18,BACK
0x0A074378461FB7ed3300eA638c6Cc38246db4434,18,EDE
0xeF0b2Ccb53A683fA48799245f376D6a60929f003,18,MOON
0x60359A0DD148B18d5cF1Ddf8Aa1916221ED0cbCd,18,NFI
0x356177B452dbae18B5a4b43b7B5324bFbae235Be,18,DFD
0x9D8a9aEc7aDcb2b203D285b9c6F91ABbcDF1D7e4,18,DOLP
0x4e496c0256FB9D4CC7Ba2fdF931bC9CbB7731660,9,BOGE
0x78a087d713Be963Bf307b18F2Ff8122EF9A63ae9,18,BSWAP
0x5B5dee44552546ECEA05EDeA01DCD7Be7aa6144A,18,TN100X
0x295243647F3EfE3BeA315D548dCC3D25864BA265,18,TOCHI
0x8300E8e6b258147972972dbCF87719DA7b817a9c,18,PAT
0x80f45EaCF6537498ecc660e4e4A2D2F99e195Cf4,18,PEPE
0x7BC401227777F173Ff871993b198A8632741B9Bb,18,DETO
0x3e05D37CFBd8caaad9E3322D35CC727AfaFF63E3,18,BENG
0x45096BD2871911eE82A3084D77a01eFA3c9c6733,18,BUB
0x06C4c7f8011fbfb6a9654ee4142532f9bb3c52B8,9,RATS
0xcf3D55c10DB69f28fD1A75Bd73f3D8A2d9c595ad,18,ACBETH
0xba71Cb8Ef2d59dE7399745793657838829E0B147,18,SIAM
0xDe7a416ac821C77478340EEBaA21b68297025eF3,18,BENI
0xd9aAEc86B65D86f6A7B5B1b0c42FFA531710b6CA,6,USDBC
0xd5046B976188EB40f6DE40fB527F89c05b323385,18,BSX
0xb8D98a102b0079B69FFbc760C8d857A31653e56e,18,TOBY
0xc2BC7A73613B9bD5F373FE10B55C59a69F4D617B,18,DACKIE
0x1C7a460413dD4e964f96D8dFC56E7223cE88CD85,18,SEAM
0x546D239032b24eCEEE0cb05c92FC39090846adc7,18,SEED
0x7b8D415f5239ae5e0f485971529B4f798e63b0B4,18,BLUBI
0x5698BbA26d8668d781cDCfd2d6D6881226dD0F52,18,BOOL
0xbd2DBb8eceA9743CA5B16423b4eAa26bDcfE5eD2,18,SYNTH
0x1b5d3A85Ef27A213C73C610352a0912fd7031637,18,BEX
0x2DC1cDa9186a4993bD36dE60D08787c0C382BEAD,18,MAG
0xc5396321805C7F1bCe608CDA194aa9155FB20F7D,18,MOONCATS
0x00E57Ec29EF2bA7dF07Ad10573011647B2366f6D,18,TOSHE
0x5baBfc2F240bc5De90Eb7e19D789412dB1dEc402,18,CIRCLE
