address,decimals,symbol
0x05e31a691405d06708A355C029599c12d5da8b28,18,FSONIC
0xC5e2B037D30a390e62180970B3aa4E91868764cD,18,TAROT
0xC758295Cd1A564cdb020a78a681a838CF8e0627D,18,FS
0x904f51a2E7eEaf76aaF0418cbAF0B71149686f4A,18,FAME
0x3Fd3A0c85B70754eFc07aC9Ac0cbBDCe664865A6,18,EQUAL
0x1B6382DBDEa11d97f24495C9A90b7c88469134a4,6,AXLUSDC
0x5f0456F728E2D59028b4f5B8Ad8C604100724C6A,18,L3USD
0x6a31Aca4d2f7398F04d9B6ffae2D898d9A8e7938,18,WTRTL
0x8b7007E1D02d8387B7B4BC8C6172598780ae59B2,18,FGHST
0x39263A476aADF768BE43a99b24C4e461098524a4,18,SLM
0x7a6e4E3CC2ac9924605DCa4bA31d1831c84b44aE,18,2OMB
0xfa5992A8A47aF7029e04eC6a95203AD3f301460b,18,SKULL
0x6e99e0676A90b2a5a722C44109db22220382cc9F,18,EXC
0x6b2a7B82d3F7a6e1F5A5831aB40666Ec717645d5,18,WATERFALL
0x87a5C9B60A3aaf1064006FE64285018e50e0d020,18,MAGIK
0xDDa0F0E1081b8d64aB1D64621eb2679F93086705,18,DIAMOND
0xe0654C8e6fd4D733349ac7E09f6f23DA256bF475,18,SCREAM
0x53D831e1db0947c74e8a52618f662209ec5dE0cE,18,SING
0x6E209329A33a63C463dbb65AE2d6655Fe5C98411,18,DSHARE
0xeaF45B62d9d0Bdc1D763baF306af5eDD7C0d7e55,9,DEATH
0x42aE8468A1FDDB965d420BD71368a87Ec3a2B4b8,18,METTI
0xe47d957F83F8887063150AaF7187411351643392,18,CHILL
0x248CB87DDA803028dfeaD98101C9465A2fbdA0d4,18,CHARM
0x49C290Ff692149A4E16611c694fdED42C954ab7a,18,BSHARE
0x911da02C1232A3c3E1418B834A311921143B04d7,18,WEVE
0x31A47B49b4DBDC54d403b8c4880Ac9BB1A9EbAE8,18,POOCH
0x070eb1a48725622De867a7E3d1dd4F0108966ED1,18,POOP
0x4D9361A86D038C8adA3db2457608e2275B3E08d4,18,MESO
0x911d1FEaE99e112B5014cfa60038325d863352f1,18,WV
0x79360aF49edd44F3000303ae212671ac94bB8ba7,18,RDL
0x230576a0455d7Ae33c6dEfE64182C0BB68bAFAF3,18,BRO
0x27E611FD27b276ACbd5Ffd632E5eAEBEC9761E40,18,DAI+USDC
0xda599495d48846E5cE3C82B56842D9A277973688,18,GRIM
0x91a40C733c97a6e1BF876EaF9ed8c08102eB491f,18,DAI
0x59c6606ED2AF925F270733e378D6aF7829B5b3cf,18,WBOND
0x471762A7017A5B1A3e931F1A97aa03Ef1E7F4A73,18,BABYBOO
0x38aCa5484B8603373Acc6961Ecd57a6a594510A3,8,GWBTC
0x3A3841f5fa9f2c283EA567d5Aeea3Af022dD2262,18,SHADE
0x6ab5660f0B1f174CFA84e9977c15645e4848F5D6,18,GSCARAB
0x8a41f13a4FaE75ca88B1ee726ee9D52B148b0498,18,PAE
0x90E892FED501ae00596448aECF998C88816e5C0F,18,DMD
0x46e1Ee17f51c52661D04238F1700C547dE3B84A1,18,SCARE
0x940F41F0ec9ba1A34CF001cc03347ac092F5F6B5,6,GFUSDT
0x5d9EaFC54567F34164A269Ba6C099068df6ef651,18,SURV
0x582423C10c9e83387a96d00A69bA3D11ee47B7b5,18,RING
0x25c130B2624CF12A4Ea30143eF50c5D68cEFA22f,18,GETH
0xc165d941481e68696f43EE6E99BFB2B23E0E3114,18,OXD
0x5B3C1F260E09e653290f24F75abC5e466fD42310,18,ASNT
0x87d57F92852D7357Cf32Ac4F6952204f2B0c1A27,18,RNDM
0x74D1D2A851e339B8cB953716445Be7E8aBdf92F4,18,XTAROT
0x117dB78176C8eDe4F12fCd29d85Cd96b91A4cbBb,18,REAPER
0x412a13C109aC30f0dB80AD3Bd1DeFd5D0A6c0Ac6,18,SD
0x9879aBDea01a879644185341F7aF7d8343556B7a,18,TUSD
0x90152f061F6697aB623e258aA6e8FbB177041371,18,ZOO
0x0483a76D80D0aFEC6bd2afd12C1AD865b9DF1471,18,UNIDX
0x639A647fbe20b6c8ac19E48E2de44ea792c62c5C,18,OCTO
0x1ac0c9592E2480649e9471c1548F60564b37a46B,18,ZOO
0xe20B9e246db5a0d21BF9209E4858Bc9A3ff7A034,18,WBAN
0x5e074C28149cC35c1e5fbC79d8A6ea688dba2314,18,LIF3
0x9E73F99EE061C8807F69f9c6CCc44ea3d8c373ee,18,FRXETH
0x8063115941e612021692f28748Ab1FF56c23E4c6,18,PPBLZ
0xC055c698f3793577707B3e6979B089F50C314D3a,18,MOVE
0xAD260f380C9a30B1d60e4548A75010ede630B665,18,BIFI
0xb90CCD563918fF900928dc529aA01046795ccb4A,18,SFRXETH
0x02838746d9E1413E07EE064fcBada57055417f21,18,GRAIN
0x526f1DC408cFe7FC5330aB9f1e78474ceFF2a5dD,18,VEMP
0xf16e81dce15B08F326220742020379B855B87DF9,18,ICE
0xd3Ac016b1B8C80EeAdDe4D186A9138C9324e4189,18,OK
0x43a8cab15D06d3a5fE5854D714C37E7E9246F170,18,ORBS
0xB01E8419d842beebf1b70A7b5f7142abbaf7159D,18,COVER
0xfe7eDa5F2c56160d406869A8aA4B2F365d544C7B,18,AXLETH
0x2A5062D22adCFaAfbd5C541d4dA82E4B450d4212,18,KP3R
0x4272dD51961A5181AcE0DC7EB6f9807311345559,18,PPDEX
0x44B26E839eB3572c5E959F994804A5De66600349,18,HEGIC
0xCEeBDE49eC95E21F7eE63C5c6f98CaB3519570de,18,WSTA
0x4b6B3d425F82248996D77EcC3F3df1E500aaC1db,18,LQDR
0x1F7216fdB338247512Ec99715587bb97BBf96eae,18,BBADGER
0x8867F422Cd9Cf0C66ba71D22bC8edc641e91949d,18,ULX
0x8fF27b58E1d969bEFC9c8aEAE93A6EB7E2250c8f,18,LSHARE
0x5f7F94a1dd7b15594d17543BEB8B30b111DD464c,18,SPACE
0x11BbF12363dC8375b78D2719395d505f52a02F68,18,ROUTE
0x12D8CE035c5DE3Ce39B1fDD4C1d5a745EAbA3b8C,18,ANKRETH
0xb1F795776cB9DdAC6E7e162f31C7419Dd3d48297,18,WAGMI
0xce1E3cc1950D2aAEb47dE04DE2dec2Dc86380E0A,18,ERN
0x0e121961DD741C9D49C9A04379da944A9D2FAc7a,18,DIS
0x1E4F97b9f9F913c46F1632781732927B9019C68b,18,CRV
0x6a07A792ab2965C72a5B8088d3a069A7aC3a993B,18,AAVE
0x56ee926bD8c72B2d5fa1aF4d9E4Cbb515a1E3Adc,18,SNX
0x657A1861c15A3deD9AF0B6799a195a249ebdCbc6,18,CREAM
0xeaF26191ac1D35AE30Baa19a5ad5558DD8156Aef,18,NORD
