cid,last_updated,last_updated_block,descr,pair_name,exchange_name,fee,fee_float,address,anchor,tkn0_address,tkn1_address,tkn0_decimals,tkn1_decimals,exchange_id,tkn0_symbol,tkn1_symbol,timestamp,tkn0_balance,tkn1_balance,liquidity,sqrt_price_q96,tick,tick_spacing,exchange,pool_type,tkn0_weight,tkn1_weight,tkn2_address,tkn2_decimals,tkn2_symbol,tkn2_balance,tkn2_weight,tkn3_address,tkn3_decimals,tkn3_symbol,tkn3_balance,tkn3_weight,tkn4_address,tkn4_decimals,tkn4_symbol,tkn4_balance,tkn4_weight,tkn5_address,tkn5_decimals,tkn5_symbol,tkn5_balance,tkn5_weight,tkn6_address,tkn6_decimals,tkn6_symbol,tkn6_balance,tkn6_weight,tkn7_address,tkn7_decimals,tkn7_symbol,tkn7_balance,tkn7_weight
0xB417e91dfD9A201d9151A6a823e4E26e1374BEe9,,2572360,sushiswap_v2 0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0xa57E7fD8E678d9F728A789343cD85D4C5685BA87,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0xa57E7fD8E678d9F728A789343cD85D4C5685BA87,sushiswap_v2,0.003,3e-09,0xB417e91dfD9A201d9151A6a823e4E26e1374BEe9,,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0xa57E7fD8E678d9F728A789343cD85D4C5685BA87,18,18,3,WFTM,AnyWBNB,0,0,0,,,,,sushiswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x8E38ef5BFb9b62FB85Ece4967e7919Ffc8ef8e72,,2572623,sushiswap_v2 0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0x2202C52C9076A49400aaccf159e1956269eaa673,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0x2202C52C9076A49400aaccf159e1956269eaa673,sushiswap_v2,0.003,3e-09,0x8E38ef5BFb9b62FB85Ece4967e7919Ffc8ef8e72,,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x2202C52C9076A49400aaccf159e1956269eaa673,18,18,3,WFTM,FGOLD,0,0,0,,,,,sushiswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xFe69403CF2e22390c0D87aB05062F67D9084935B,,2591345,sushiswap_v2 0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0x56ee926bD8c72B2d5fa1aF4d9E4Cbb515a1E3Adc,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0x56ee926bD8c72B2d5fa1aF4d9E4Cbb515a1E3Adc,sushiswap_v2,0.003,3e-09,0xFe69403CF2e22390c0D87aB05062F67D9084935B,,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x56ee926bD8c72B2d5fa1aF4d9E4Cbb515a1E3Adc,18,18,3,WFTM,SNX,0,0,0,,,,,sushiswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xBd3F2fE0CF20d545a5F6E1D5992dcb2652227aC1,,2611725,sushiswap_v2 0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0x4272dD51961A5181AcE0DC7EB6f9807311345559,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0x4272dD51961A5181AcE0DC7EB6f9807311345559,sushiswap_v2,0.003,3e-09,0xBd3F2fE0CF20d545a5F6E1D5992dcb2652227aC1,,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x4272dD51961A5181AcE0DC7EB6f9807311345559,18,18,3,WFTM,PPDEX,0,0,0,,,,,sushiswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x90334dbBDa766Ecb1CF9C52916db8b6867E0439c,,2612917,sushiswap_v2 0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0x8063115941e612021692f28748Ab1FF56c23E4c6,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0x8063115941e612021692f28748Ab1FF56c23E4c6,sushiswap_v2,0.003,3e-09,0x90334dbBDa766Ecb1CF9C52916db8b6867E0439c,,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x8063115941e612021692f28748Ab1FF56c23E4c6,18,18,3,WFTM,PPBLZ,0,0,0,,,,,sushiswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xfEA288c45ebE999a052368C96855374981AE7a11,,2617269,sushiswap_v2 0x04c762a5dF2Fa02FE868F25359E0C259fB811CfE/0x658b0c7613e890EE50B8C4BC6A3f41ef411208aD,0x04c762a5dF2Fa02FE868F25359E0C259fB811CfE/0x658b0c7613e890EE50B8C4BC6A3f41ef411208aD,sushiswap_v2,0.003,3e-09,0xfEA288c45ebE999a052368C96855374981AE7a11,,0x04c762a5dF2Fa02FE868F25359E0C259fB811CfE,0x658b0c7613e890EE50B8C4BC6A3f41ef411208aD,8,18,3,iDAI,FETH,0,0,0,,,,,sushiswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x51F1D92099cC9b388839a9D629256a2a76ea5091,,2619869,sushiswap_v2 0x04068DA6C83AFCFA0e13ba15A6696662335D5B75/0x658b0c7613e890EE50B8C4BC6A3f41ef411208aD,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75/0x658b0c7613e890EE50B8C4BC6A3f41ef411208aD,sushiswap_v2,0.003,3e-09,0x51F1D92099cC9b388839a9D629256a2a76ea5091,,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0x658b0c7613e890EE50B8C4BC6A3f41ef411208aD,6,18,3,USDC,FETH,0,0,0,,,,,sushiswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x1d6101825d3412925e56C058559E6BFCC4661f1c,,2628741,sushiswap_v2 0x74b23882a30290451A17c44f4F05243b6b58C76d/0xAd84341756Bf337f5a0164515b1f6F993D194E1f,0x74b23882a30290451A17c44f4F05243b6b58C76d/0xAd84341756Bf337f5a0164515b1f6F993D194E1f,sushiswap_v2,0.003,3e-09,0x1d6101825d3412925e56C058559E6BFCC4661f1c,,0x74b23882a30290451A17c44f4F05243b6b58C76d,0xAd84341756Bf337f5a0164515b1f6F993D194E1f,18,18,3,WETH,FUSD,0,0,0,,,,,sushiswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x46CF5510C8a9dF6ef63aCF6B02813178921bcA20,,2632084,sushiswap_v2 0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0x822d462Ce7201eEc0f99ba1de65CA05c746F33DB,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0x822d462Ce7201eEc0f99ba1de65CA05c746F33DB,sushiswap_v2,0.003,3e-09,0x46CF5510C8a9dF6ef63aCF6B02813178921bcA20,,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x822d462Ce7201eEc0f99ba1de65CA05c746F33DB,18,6,3,WFTM,HARV,0,0,0,,,,,sushiswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0103715fD20A3f2E11fD7b3E646A5F6F6703d245,,2648304,sushiswap_v2 0x658b0c7613e890EE50B8C4BC6A3f41ef411208aD/0xAd84341756Bf337f5a0164515b1f6F993D194E1f,0x658b0c7613e890EE50B8C4BC6A3f41ef411208aD/0xAd84341756Bf337f5a0164515b1f6F993D194E1f,sushiswap_v2,0.003,3e-09,0x0103715fD20A3f2E11fD7b3E646A5F6F6703d245,,0x658b0c7613e890EE50B8C4BC6A3f41ef411208aD,0xAd84341756Bf337f5a0164515b1f6F993D194E1f,18,18,3,FETH,FUSD,0,0,0,,,,,sushiswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xe74385DAe8fE6ebd0d55300300Fe2e298324f95f,,2660304,sushiswap_v2 0x658b0c7613e890EE50B8C4BC6A3f41ef411208aD/0x8D11eC38a3EB5E956B052f67Da8Bdc9bef8Abf3E,0x658b0c7613e890EE50B8C4BC6A3f41ef411208aD/0x8D11eC38a3EB5E956B052f67Da8Bdc9bef8Abf3E,sushiswap_v2,0.003,3e-09,0xe74385DAe8fE6ebd0d55300300Fe2e298324f95f,,0x658b0c7613e890EE50B8C4BC6A3f41ef411208aD,0x8D11eC38a3EB5E956B052f67Da8Bdc9bef8Abf3E,18,18,3,FETH,DAI,0,0,0,,,,,sushiswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x450c6Ae5AfEBCCBcc51FE459587f6aA2799e11E6,,2664489,sushiswap_v2 0x27f26F00e1605903645BbaBC0a73E35027Dccd45/0x658b0c7613e890EE50B8C4BC6A3f41ef411208aD,0x27f26F00e1605903645BbaBC0a73E35027Dccd45/0x658b0c7613e890EE50B8C4BC6A3f41ef411208aD,sushiswap_v2,0.003,3e-09,0x450c6Ae5AfEBCCBcc51FE459587f6aA2799e11E6,,0x27f26F00e1605903645BbaBC0a73E35027Dccd45,0x658b0c7613e890EE50B8C4BC6A3f41ef411208aD,18,18,3,FBNB,FETH,0,0,0,,,,,sushiswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xB9df5996a8F10105d3478988cBbB36b476ad968F,,2727853,sushiswap_v2 0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0x8b8407c6184f1f0Fd1082e83d6A3b8349cAcEd12,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0x8b8407c6184f1f0Fd1082e83d6A3b8349cAcEd12,sushiswap_v2,0.003,3e-09,0xB9df5996a8F10105d3478988cBbB36b476ad968F,,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x8b8407c6184f1f0Fd1082e83d6A3b8349cAcEd12,18,8,3,WFTM,COVAL,0,0,0,,,,,sushiswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x2c49250b1a9f7193B548210907A9249154C177A8,,2744223,sushiswap_v2 0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0x2b9C073Ec670b70F417bbaf3BbB052AA563A0a23,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0x2b9C073Ec670b70F417bbaf3BbB052AA563A0a23,sushiswap_v2,0.003,3e-09,0x2c49250b1a9f7193B548210907A9249154C177A8,,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x2b9C073Ec670b70F417bbaf3BbB052AA563A0a23,18,18,3,WFTM,FKRW,0,0,0,,,,,sushiswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x15c15C6a6E9ceaA33eAb7D51553680De93a81F36,,2744293,sushiswap_v2 0x2b9C073Ec670b70F417bbaf3BbB052AA563A0a23/0x8D11eC38a3EB5E956B052f67Da8Bdc9bef8Abf3E,0x2b9C073Ec670b70F417bbaf3BbB052AA563A0a23/0x8D11eC38a3EB5E956B052f67Da8Bdc9bef8Abf3E,sushiswap_v2,0.003,3e-09,0x15c15C6a6E9ceaA33eAb7D51553680De93a81F36,,0x2b9C073Ec670b70F417bbaf3BbB052AA563A0a23,0x8D11eC38a3EB5E956B052f67Da8Bdc9bef8Abf3E,18,18,3,FKRW,DAI,0,0,0,,,,,sushiswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x31053Fa999891D45CB375C95af85fD1471b58E77,,2744295,sushiswap_v2 0x2b9C073Ec670b70F417bbaf3BbB052AA563A0a23/0xAd84341756Bf337f5a0164515b1f6F993D194E1f,0x2b9C073Ec670b70F417bbaf3BbB052AA563A0a23/0xAd84341756Bf337f5a0164515b1f6F993D194E1f,sushiswap_v2,0.003,3e-09,0x31053Fa999891D45CB375C95af85fD1471b58E77,,0x2b9C073Ec670b70F417bbaf3BbB052AA563A0a23,0xAd84341756Bf337f5a0164515b1f6F993D194E1f,18,18,3,FKRW,FUSD,0,0,0,,,,,sushiswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x467e97850a605061253638127C6D178a8fE141aB,,2744299,sushiswap_v2 0x04068DA6C83AFCFA0e13ba15A6696662335D5B75/0x2b9C073Ec670b70F417bbaf3BbB052AA563A0a23,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75/0x2b9C073Ec670b70F417bbaf3BbB052AA563A0a23,sushiswap_v2,0.003,3e-09,0x467e97850a605061253638127C6D178a8fE141aB,,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0x2b9C073Ec670b70F417bbaf3BbB052AA563A0a23,6,18,3,USDC,FKRW,0,0,0,,,,,sushiswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x28ef7Bf74E53EC3C198727fF34770a729d40B607,,2744472,sushiswap_v2 0x078EEF5A2fb533e1a4d487ef64b27DF113d12C32/0xAd84341756Bf337f5a0164515b1f6F993D194E1f,0x078EEF5A2fb533e1a4d487ef64b27DF113d12C32/0xAd84341756Bf337f5a0164515b1f6F993D194E1f,sushiswap_v2,0.003,3e-09,0x28ef7Bf74E53EC3C198727fF34770a729d40B607,,0x078EEF5A2fb533e1a4d487ef64b27DF113d12C32,0xAd84341756Bf337f5a0164515b1f6F993D194E1f,18,18,3,FBAND,FUSD,0,0,0,,,,,sushiswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x947d2919d541b6cFA75A85da27960BD16Dc22114,,2744474,sushiswap_v2 0x078EEF5A2fb533e1a4d487ef64b27DF113d12C32/0x8D11eC38a3EB5E956B052f67Da8Bdc9bef8Abf3E,0x078EEF5A2fb533e1a4d487ef64b27DF113d12C32/0x8D11eC38a3EB5E956B052f67Da8Bdc9bef8Abf3E,sushiswap_v2,0.003,3e-09,0x947d2919d541b6cFA75A85da27960BD16Dc22114,,0x078EEF5A2fb533e1a4d487ef64b27DF113d12C32,0x8D11eC38a3EB5E956B052f67Da8Bdc9bef8Abf3E,18,18,3,FBAND,DAI,0,0,0,,,,,sushiswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xF1EbaC8C0Da9AEdCbdA18b5E339d0B84F67dc166,,2744476,sushiswap_v2 0x04068DA6C83AFCFA0e13ba15A6696662335D5B75/0x078EEF5A2fb533e1a4d487ef64b27DF113d12C32,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75/0x078EEF5A2fb533e1a4d487ef64b27DF113d12C32,sushiswap_v2,0.003,3e-09,0xF1EbaC8C0Da9AEdCbdA18b5E339d0B84F67dc166,,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0x078EEF5A2fb533e1a4d487ef64b27DF113d12C32,6,18,3,USDC,FBAND,0,0,0,,,,,sushiswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xeD958c9e2D3B77e3a4266fd05BE0576eA4c36aa0,,2744481,sushiswap_v2 0xAd84341756Bf337f5a0164515b1f6F993D194E1f/0xe1146b9AC456fCbB60644c36Fd3F868A9072fc6E,0xAd84341756Bf337f5a0164515b1f6F993D194E1f/0xe1146b9AC456fCbB60644c36Fd3F868A9072fc6E,sushiswap_v2,0.003,3e-09,0xeD958c9e2D3B77e3a4266fd05BE0576eA4c36aa0,,0xAd84341756Bf337f5a0164515b1f6F993D194E1f,0xe1146b9AC456fCbB60644c36Fd3F868A9072fc6E,18,18,3,FUSD,FBTC,0,0,0,,,,,sushiswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x26d6780C0e9d3b309FFFeEc16aAeC79234051e3A,,2744483,sushiswap_v2 0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0xe1146b9AC456fCbB60644c36Fd3F868A9072fc6E,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83/0xe1146b9AC456fCbB60644c36Fd3F868A9072fc6E,sushiswap_v2,0.003,3e-09,0x26d6780C0e9d3b309FFFeEc16aAeC79234051e3A,,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0xe1146b9AC456fCbB60644c36Fd3F868A9072fc6E,18,18,3,WFTM,FBTC,0,0,0,,,,,sushiswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xf312F6c976D37841095aB0E196B87F35dE87A572,,2744487,sushiswap_v2 0x078EEF5A2fb533e1a4d487ef64b27DF113d12C32/0x2b9C073Ec670b70F417bbaf3BbB052AA563A0a23,0x078EEF5A2fb533e1a4d487ef64b27DF113d12C32/0x2b9C073Ec670b70F417bbaf3BbB052AA563A0a23,sushiswap_v2,0.003,3e-09,0xf312F6c976D37841095aB0E196B87F35dE87A572,,0x078EEF5A2fb533e1a4d487ef64b27DF113d12C32,0x2b9C073Ec670b70F417bbaf3BbB052AA563A0a23,18,18,3,FBAND,FKRW,0,0,0,,,,,sushiswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x5b4926fD3d9A628a8Dc1510E2A45048F1BE6D366,,2744499,sushiswap_v2 0x078EEF5A2fb533e1a4d487ef64b27DF113d12C32/0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x078EEF5A2fb533e1a4d487ef64b27DF113d12C32/0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,sushiswap_v2,0.003,3e-09,0x5b4926fD3d9A628a8Dc1510E2A45048F1BE6D366,,0x078EEF5A2fb533e1a4d487ef64b27DF113d12C32,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,18,18,3,FBAND,WFTM,0,0,0,,,,,sushiswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x71C8BceEcE3dAf9E27741D2Cc1F03170f862555f,,2754794,sushiswap_v2 0x74b23882a30290451A17c44f4F05243b6b58C76d/0x8D11eC38a3EB5E956B052f67Da8Bdc9bef8Abf3E,0x74b23882a30290451A17c44f4F05243b6b58C76d/0x8D11eC38a3EB5E956B052f67Da8Bdc9bef8Abf3E,sushiswap_v2,0.003,3e-09,0x71C8BceEcE3dAf9E27741D2Cc1F03170f862555f,,0x74b23882a30290451A17c44f4F05243b6b58C76d,0x8D11eC38a3EB5E956B052f67Da8Bdc9bef8Abf3E,18,18,3,WETH,DAI,0,0,0,,,,,sushiswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xF2b85A364d240b9EF06d0a0b7cc65E62b2c45CF6,,2757050,sushiswap_v2 0x2b9C073Ec670b70F417bbaf3BbB052AA563A0a23/0x74b23882a30290451A17c44f4F05243b6b58C76d,0x2b9C073Ec670b70F417bbaf3BbB052AA563A0a23/0x74b23882a30290451A17c44f4F05243b6b58C76d,sushiswap_v2,0.003,3e-09,0xF2b85A364d240b9EF06d0a0b7cc65E62b2c45CF6,,0x2b9C073Ec670b70F417bbaf3BbB052AA563A0a23,0x74b23882a30290451A17c44f4F05243b6b58C76d,18,18,3,FKRW,WETH,0,0,0,,,,,sushiswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xc8f29bE6478E43FF0d676773e286F519fEE449e8,,2757097,sushiswap_v2 0xAd84341756Bf337f5a0164515b1f6F993D194E1f/0xf15e88EEf35BF4709A4C3E99c00358F9247D4531,0xAd84341756Bf337f5a0164515b1f6F993D194E1f/0xf15e88EEf35BF4709A4C3E99c00358F9247D4531,sushiswap_v2,0.003,3e-09,0xc8f29bE6478E43FF0d676773e286F519fEE449e8,,0xAd84341756Bf337f5a0164515b1f6F993D194E1f,0xf15e88EEf35BF4709A4C3E99c00358F9247D4531,18,18,3,FUSD,FSILVER,0,0,0,,,,,sushiswap_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
